,Unnamed: 0,asset_id,asset_name,backup_asset_id,backup_site_id,backup_asset_name,monitoring_platform,site_id,field_name,address,time_zone,start_date,days_in_month,degradation_profile,degradation_factor,monthly_energy_estimate,daily_energy_estimate,monthly_insolation_estimate,daily_insolation_estimate
20755,20755,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,22,0.5,1.0,8081.0,288.61,76.8,2.74
20756,20756,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,1.0,12291.0,396.48,120.1,3.87
20757,20757,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,1.0,16670.0,555.67,152.8,5.09
20758,20758,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,1.0,18414.0,594.0,174.5,5.63
20759,20759,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,1.0,20099.0,669.97,193.9,6.46
20760,20760,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,1.0,19088.0,615.74,185.5,5.98
20761,20761,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,1.0,16915.0,545.65,163.1,5.26
20762,20762,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,1.0,13732.0,457.73,129.1,4.3
20763,20763,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,1.0,11755.0,379.19,106.8,3.45
20764,20764,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,30,0.5,1.0,7404.0,246.8,66.4,2.21
20765,20765,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,1.0,5862.0,189.1,56.3,1.82
20766,20766,8d4c5701-ca7e-ec11-8d21-00224829f9c9,MD - Baltimore - Eastern Ave.1218,edcd9d63-34e9-ea11-a817-000d3a8c8077,3745582.0,MD - Bethesda - River Rd.0552,PowerTrack,,KWHdel,"1400 Eastern Ave,  Baltimore, MD 21231",America/New_York,2022-02-07,31,0.5,1.0,6565.0,211.77,62.3,2.01
